"id","title","authors","venue","year"
"journals/tods/PolyzoisG94","Evaluation of Remote Backup Algorithms for Transaction-Processing Systems","Christos A. Polyzois, Hector Garcia-Molina","ACM Trans. Database Syst.","1994"
"conf/sigmod/BilirisDGJR94","ASSET: A System for Supporting Extended Transactions","Narain H. Gehani, Krithi Ramamritham, Alexandros Biliris, H. V. Jagadish, Shaul Dar","SIGMOD Conference","1994"
"conf/sigmod/LacroixSC98","User-oriented smart-cache for the Web: What You Seek is What You Get!","Arnaud Sahuguet, Raman Chandrasekar, Zo� Lacroix","SIGMOD Conference","1998"
"conf/vldb/RosenthalS94","Data Integration in the Large: The Challenge of Reuse","Leonard J. Seligman, Arnon Rosenthal","VLDB","1994"
"conf/sigmod/LiuFP03","GridDB: A Database Interface to the Grid","David T. Liu, Devesh Parekh, Michael J. Franklin","SIGMOD Conference","2003"
"conf/sigmod/AgrawalCD02","DBXplorer: enabling keyword search over relational databases","Gautam Das, Sanjay Agrawal, Surajit Chaudhuri","SIGMOD Conference","2002"
"journals/sigmod/Keim96","Pixel-oriented Database Visualizations","Daniel A. Keim","SIGMOD Record","1996"
"conf/vldb/AmsalegFG95","Efficient Incremental Garbage Collection for Client-Server Object Database Systems","Laurent Amsaleg, Olivier Gruber, Michael J. Franklin","VLDB","1995"
"conf/sigmod/ZhangRL96","BIRCH: An Efficient Data Clustering Method for Very Large Databases","Raghu Ramakrishnan, Miron Livny, Tian Zhang","SIGMOD Conference","1996"
"conf/sigmod/Jagadish94","Databases for Networks","H. V. Jagadish","SIGMOD Conference","1994"
"conf/sigmod/GebhardtJJ97","A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data","Matthias Jarke, Stephan Jacobs, Michael Gebhardt","SIGMOD Conference","1997"
"conf/sigmod/GingrasLSPS97","Languages for Multi-database Interoperability","Laks V. S. Lakshmanan, Fr�d�ric Gingras, Nematollaah Shiri, Despina Papoulis, Iyer N. Subramanian","SIGMOD Conference","1997"
"conf/sigmod/PeiMHZ00","Towards Data Mining Benchmarking: A Testbed for Performance Study of Frequent Pattern Mining","Hua Zhu, Kan Hu, Jian Pei, Runying Mao","SIGMOD Conference","2000"
"conf/vldb/Cuppens96","Querying a Multilevel Database: A Logical Analysis","Fr�d�ric Cuppens","VLDB","1996"
"journals/sigmod/RoantreeS02","Research in Information Managment at Dublin City University","Alan F. Smeaton, Mark Roantree","SIGMOD Record","2002"
"conf/vldb/HaasKU99","Loading a Cache with Query Results","Ioana Ursu, Donald Kossmann, Laura M. Haas","VLDB","1999"
"journals/tods/GoldmanL94","Quorum Consensus in Nested Transaction Systems","Kenneth J. Goldman, Nancy A. Lynch","ACM Trans. Database Syst.","1994"
"conf/vldb/GravanoIJKMS01","Approximate String Joins in a Database (Almost) for Free","Luis Gravano, H. V. Jagadish, Panagiotis G. Ipeirotis, S. Muthukrishnan, Divesh Srivastava, Nick Koudas","VLDB","2001"
"journals/sigmod/MedskerCS95","A Comparison of Three User Interfaces to Relational Microcomputer Data Bases","Carl Medsker, Margaret Christensen, Il-Yeol Song","SIGMOD Record","1995"
"conf/sigmod/PapakonstantinouV99","Query Rewriting for Semistructured Data","Vasilis Vassalos, Yannis Papakonstantinou","SIGMOD Conference","1999"
"conf/vldb/PirotteZMY94","Materialization: A Powerful and Ubiquitous Abstraction Pattern","Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart","VLDB","1994"
"conf/sigmod/KoudasS03","Panel: Querying Networked Databases","Divesh Srivastava, Nick Koudas","SIGMOD Conference","2003"
"journals/sigmod/Lomet01","The Evolution of Effective B-tree: Page Organization and Techniques: A Personal Account","David B. Lomet","SIGMOD Record","2001"
"conf/sigmod/FaloutsosL95","FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets","King-Ip Lin, Christos Faloutsos","SIGMOD Conference","1995"
"conf/sigmod/Team95b","SHORE: Combining the Best Features of OODBMS and File Systems","Shore Team","SIGMOD Conference","1995"
"journals/tods/ChomickiTB01","Querying ATSQL databases with temporal logic","Jan Chomicki, David Toman, Michael H. B�hlen","ACM Trans. Database Syst.","2001"
"conf/sigmod/Chaudhuri97","Query Optimization at the Crossroads (Panel)","Surajit Chaudhuri","SIGMOD Conference","1997"
"journals/vldb/AbbadiSW01","Guest editorial","Kyu-Young Whang, Gunter Schlageter, Amr El Abbadi","VLDB J.","2001"
"journals/sigmod/AilamakiFFSV03","An environmental sensor network to determine drinking water quality and security","Jeanne VanBriesen, Paul S. Fischbeck, Christos Faloutsos, Anastassia Ailamaki, Mitchell J. Small","SIGMOD Record","2003"
"conf/sigmod/ChenDLT00","Fact: A Learning Based Web Query Processing System","Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen","SIGMOD Conference","2000"
