"id","title","authors","venue","year"
"Ab6MIDVDzhAJ","Internet traffic warehouse","CM Chen, M Cochinwala, C Petrone, M Pucci, S  ","ACM SIGMOD Record,","2000"
"YtVG0hVxFI8J","JasonMadar, and Raymond Ng. Semantic Compression and Pattern Extraction with Fascicles","HV Jagadish","&hellip;  of the25th International Conference onVeryLarge",""
"url:http://portal.acm.org/citation.cfm%3Fid%3D645925.671502","Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions","U Dayal","Proceedings of the 25th International Conference on Very  &hellip;,","1999"
"8hMkXAIa8vEJ","Temporal aggregation in active databases","I Motakis, C Zaniolo","Int. Conf. on the Management of Data,",""
"vP27NkXI4MEJ","The NAOS system","C Collet, T Coupaye","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,","1995"
"GxDfgCi-rq4J","AJAX: An Extensible Data Cleaning Tool","H Galhardas, D Florescu, D Shasha, E Simon","",""
"y8Sm4Sh4hokJ","F, Vincent,.â??Nearest Neighbor Queriesâ??","N Rossopoulos, S Kelly","Proc. of ACM-SIGMOD, pages,",""
"793XPMTdcBEJ","The Complexity of Transformation-Based Join Enumeration","A Pellenkoft, CA Galindo-Legaria, M Kersten","VLDB,","1997"
"nBHS2BTx-GkJ","Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations","YW Huang, N Jing, EA Rundensteiner","VLDB,","1997"
"CsWyDorgQF4J","Lachesis: Robust Database Storage Management Based on Device-specific Performance Characteristics","J Schindler, A Ailamaki, GR Ganger","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2003"
"fSKoYnVJbwwJ","Towards an Infrastructure for Temporal Databases: Report of an Invitational ARPA/NSF Workshop","A Segev, B Theodoulidis, IJ Dayal","SIGMOD RECORD,","1994"
"3CDeAczlaSUJ","C. Pu. A practical and modular method to implement extended transaction models","R Barga","Proceedings of the 21st International Conference on Very  &hellip;,",""
"LDxiVdRU6EEJ","Using Referential Integrity To Easily Define Consistent Subset Replicas","B Hammond","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","1996"
"XQw3ADYCXdcJ","Improving Business Process Quality through Exception Understanding, Prediction, and Prevention","F Casati, U Dayal, D Grigori, MC Shan","Procs. of",""
"VaO8O5WO0IcJ","Broadcast Protocals to support efficient retrieval from database by mobile users","D Anindya, EV Debra, C Aslihan, K Vijay","ACM TODS,",""
"CfVOsnm-ebMJ","Dynamic service matchmaking among agents in open information systems","K Sycara, M Klusch, S Widoff, J Lu","ACM SIGMOD Record. Special Issue on semantic  &hellip;,",""
"1qV5-83rTyUJ","A Foundation for Representing and Querying Moving Objects",", M Erwig, CS Jensen, NA Lorentzos, M Schneider, M ","ACM TRANSACTIONS ON DATABASE SYSTEMS,","2000"
"xZxFCI120eUJ","Data Access for the Masses through OLE DB.  ","JA Blakeley","","1996"
"TyF71uAlnLsJ","Et tu, XML? The Downfall of the Relational Empire","P Wadler","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,","2001"
"WYGjQDmRwt8J","XXL-A Library Approach to Supporting Efficient Implementations of Advanced Database Queries","J Van den Bercken, B Blohsfeld, JP Dittrich, J  ","Proceedings of the 27th International Conference on Very  &hellip;,","2001"
"N5Got4HigPgJ","Orthogonally persistent object systems","M Atkinson, R Morrison","The VLDB Journal The International Journal on Very Large  &hellip;,","1995"
"sP3bZMqHmZsJ","Processing with Possibly Uncooperative Local Systems","C Yu, G Philip, WMDTN Query","Technical Report, Dept. of CS, University of Illinois at Chicago",""
"qHn6nrbVow8J","Versioning and configuration management in an object-oriented data model","E Sciore","The VLDB Journal The International Journal on Very Large  &hellip;,","1994"
"y461yNb2GEcJ","Compressing SQL Workloads","S Chaudhury","ACM SIGMOD",""
"U8ZlWhxgtxYJ","Static Analysis Techniques for Predicting the Behavior of Active Database Rules â??","JM HELLERSTEIN, J WIDOM","ACM Transactions on Database Systems,","1995"
